n_estimators,max_depth,max_features,min_impurity_decrease,score
150,25,24,0.001,0.9661111111111111
150,30,24,0.001,0.9661111111111111
25,15,12,0.001,0.9661111111111111
150,20,24,0.001,0.9661111111111111
200,25,12,0.001,0.9658333333333333
200,30,12,0.001,0.9658333333333333
200,20,12,0.001,0.9658333333333333
200,20,24,0.001,0.9655555555555555
150,15,12,0.001,0.9655555555555555
100,20,24,0.001,0.9655555555555555
200,30,24,0.001,0.9655555555555555
200,25,24,0.001,0.9655555555555555
100,25,38,0.001,0.9652777777777778
100,20,38,0.001,0.9652777777777778
100,25,30,0.001,0.9652777777777778
50,20,24,0.001,0.9652777777777778
150,25,38,0.001,0.9652777777777778
250,20,12,0.001,0.9652777777777778
100,25,24,0.001,0.9652777777777778
150,30,38,0.001,0.9652777777777778
100,30,38,0.001,0.9652777777777778
50,15,12,0.001,0.9652777777777778
100,15,12,0.001,0.9652777777777778
100,30,30,0.001,0.9652777777777778
100,30,24,0.001,0.9652777777777778
250,25,12,0.001,0.965
150,20,38,0.001,0.965
100,20,30,0.001,0.965
250,15,12,0.001,0.965
250,30,12,0.001,0.965
50,30,24,0.001,0.965
100,30,12,0.001,0.965
100,20,12,0.001,0.965
50,25,24,0.001,0.965
50,15,38,0.001,0.965
100,15,30,0.001,0.965
100,25,12,0.001,0.965
250,30,30,0.001,0.9647222222222223
150,15,24,0.001,0.9647222222222223
250,25,24,0.001,0.9647222222222223
50,15,30,0.001,0.9647222222222223
50,25,30,0.001,0.9647222222222223
25,30,38,0.001,0.9647222222222223
25,25,38,0.001,0.9647222222222223
25,20,38,0.001,0.9647222222222223
250,25,30,0.001,0.9647222222222223
100,15,38,0.001,0.9647222222222223
50,20,30,0.001,0.9647222222222223
50,30,30,0.001,0.9647222222222223
250,30,24,0.001,0.9647222222222223
250,20,24,0.001,0.9647222222222223
200,20,38,0.001,0.9644444444444444
150,20,12,0.001,0.9644444444444444
250,20,30,0.001,0.9644444444444444
200,30,38,0.001,0.9644444444444444
250,15,38,0.001,0.9644444444444444
250,20,38,0.001,0.9644444444444444
250,30,38,0.001,0.9644444444444444
250,25,38,0.001,0.9644444444444444
200,25,38,0.001,0.9644444444444444
150,15,30,0.001,0.9641666666666666
25,25,12,0.001,0.9641666666666666
250,15,30,0.001,0.9641666666666666
50,25,38,0.001,0.9641666666666666
50,20,38,0.001,0.9641666666666666
150,25,12,0.001,0.9641666666666666
25,30,12,0.001,0.9641666666666666
25,20,12,0.001,0.9641666666666666
200,15,12,0.001,0.9641666666666666
150,30,12,0.001,0.9641666666666666
50,30,38,0.001,0.9641666666666666
200,20,30,0.001,0.9638888888888889
150,15,38,0.001,0.9638888888888889
25,15,38,0.001,0.9638888888888889
150,30,30,0.001,0.9638888888888889
150,20,30,0.001,0.9638888888888889
250,15,24,0.001,0.9638888888888889
150,25,30,0.001,0.9638888888888889
50,20,12,0.001,0.9638888888888889
100,15,24,0.001,0.9638888888888889
50,30,12,0.001,0.9638888888888889
50,25,12,0.001,0.9638888888888889
200,25,30,0.001,0.9636111111111111
200,15,24,0.001,0.9636111111111111
200,15,30,0.001,0.9636111111111111
200,30,30,0.001,0.9636111111111111
200,15,38,0.001,0.9636111111111111
50,15,24,0.001,0.9633333333333334
25,15,30,0.001,0.9633333333333334
25,20,30,0.001,0.9627777777777777
25,20,24,0.001,0.9625
25,30,30,0.001,0.9625
25,30,24,0.001,0.9625
25,25,24,0.001,0.9625
25,25,30,0.001,0.9625
25,15,24,0.001,0.9611111111111111
200,30,6,0.001,0.9605555555555556
200,25,6,0.001,0.9605555555555556
250,25,6,0.001,0.9602777777777778
200,20,6,0.001,0.9602777777777778
250,30,6,0.001,0.9602777777777778
25,10,38,0.001,0.96
150,15,6,0.001,0.96
250,15,6,0.001,0.9597222222222223
200,15,6,0.001,0.9597222222222223
150,30,6,0.001,0.9597222222222223
150,25,6,0.001,0.9597222222222223
250,20,6,0.001,0.9597222222222223
150,20,6,0.001,0.9588888888888889
100,15,6,0.001,0.9588888888888889
100,30,6,0.001,0.9586111111111111
100,25,6,0.001,0.9586111111111111
250,10,38,0.001,0.9583333333333334
25,10,30,0.001,0.9583333333333334
100,20,6,0.001,0.9580555555555555
50,10,30,0.001,0.9580555555555555
50,15,6,0.001,0.9580555555555555
200,10,38,0.001,0.9575
100,10,30,0.001,0.9575
50,30,6,0.001,0.9575
150,10,38,0.001,0.9575
50,25,6,0.001,0.9575
250,10,30,0.001,0.9569444444444445
150,10,30,0.001,0.9569444444444445
250,10,24,0.001,0.9566666666666667
50,10,38,0.001,0.9566666666666667
100,10,38,0.001,0.9566666666666667
200,10,30,0.001,0.9563888888888888
50,20,6,0.001,0.9563888888888888
200,10,24,0.001,0.9563888888888888
150,10,12,0.001,0.9555555555555556
25,25,6,0.001,0.9555555555555556
150,10,24,0.001,0.9555555555555556
25,30,6,0.001,0.9555555555555556
25,20,6,0.001,0.9552777777777778
50,10,24,0.001,0.955
25,10,12,0.001,0.955
200,10,12,0.001,0.9547222222222222
100,10,24,0.001,0.9544444444444444
250,10,12,0.001,0.9541666666666667
25,15,6,0.001,0.9538888888888889
100,10,12,0.001,0.9536111111111111
50,10,12,0.001,0.9533333333333334
25,10,24,0.001,0.9525
250,30,3,0.001,0.95
250,25,3,0.001,0.95
250,20,3,0.001,0.9497222222222222
200,30,3,0.001,0.9497222222222222
200,25,3,0.001,0.9497222222222222
200,20,3,0.001,0.9494444444444444
100,20,3,0.001,0.9486111111111111
150,30,3,0.001,0.9483333333333334
150,25,3,0.001,0.9483333333333334
100,30,3,0.001,0.9477777777777778
100,25,3,0.001,0.9477777777777778
250,10,6,0.001,0.9475
50,25,3,0.001,0.9472222222222222
50,30,3,0.001,0.9472222222222222
150,20,3,0.001,0.9472222222222222
50,15,3,0.001,0.9472222222222222
25,20,3,0.001,0.9469444444444445
250,15,3,0.001,0.9469444444444445
100,15,3,0.001,0.9466666666666667
25,25,3,0.001,0.9466666666666667
25,30,3,0.001,0.9466666666666667
50,20,3,0.001,0.9466666666666667
100,10,6,0.001,0.9463888888888888
50,10,6,0.001,0.9461111111111111
200,15,3,0.001,0.9461111111111111
150,15,3,0.001,0.9461111111111111
150,10,6,0.001,0.9458333333333333
200,10,6,0.001,0.9452777777777778
25,15,3,0.001,0.9438888888888889
25,10,6,0.001,0.9419444444444445
50,10,3,0.001,0.9361111111111111
250,10,3,0.001,0.935
150,10,3,0.001,0.9344444444444444
200,10,3,0.001,0.9341666666666667
100,10,3,0.001,0.9338888888888889
25,10,3,0.001,0.93
